model,task_id,lite_index,selected_attempt,candidate_source,selection_reason,selection_source_summary,raw_result,raw_score,existing_adopted_result,existing_adopted_score,review_status,disputed_conditions,independently_unsatisfied_requirements,task_level_impact,partial_score_effect,audit_proposed_result,existing_adjudication,adjudication_reference,diagnostic60_overlap,diagnostic60_list_ref,evidence_record_refs,audit_summary,human_questions,approval_status
gpt-5.5,linux_android_1312,72,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/072_linux_android_1312,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.0,FAIL,0.0,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:072:E1,实际保存 ODT 的有效包/内容回读涵盖 SITE-1312、Depot Ridge、37.9101°N/122.5101°W、44 Ridge Road、bring vest，且不含 archived site。,,pending_user_approval
claude-opus-4-8,linux_android_1312,72,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/retry_run_01/072_linux_android_1312,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.0,FAIL,0.0,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:072:E1,实际保存 ODT 的有效包/内容回读涵盖 SITE-1312、Depot Ridge、37.9101°N/122.5101°W、44 Ridge Road、bring vest，且不含 archived site。,,pending_user_approval
gpt-5.5,linux_android_1270,73,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/073_linux_android_1270,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.0,FAIL,0.0,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:073:E1,Broccoli 配方和 pantry CSV 的并集为 beans/rice/cilantro/lime；成功保存后回读恰有四列四行，数量及匹配/短缺/配方外状态正确。执行代码建立单个可见工作表，无隐藏表或额外记录。,,pending_user_approval
claude-opus-4-8,linux_android_1270,73,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_rerun_20260828_run_01/073_linux_android_1270,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.0,FAIL,0.0,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:073:E1,Broccoli 配方和 pantry CSV 的并集为 beans/rice/cilantro/lime；成功保存后回读恰有四列四行，数量及匹配/短缺/配方外状态正确。执行代码建立单个可见工作表，无隐藏表或额外记录。,,pending_user_approval
gpt-5.5,linux_android_smarthome_271,82,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/082_linux_android_smarthome_271,同任务另一模型,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.6666666666666666,FAIL,0.6666666666666666,reviewed,E3,新 workflow 实际运行时间错误；这是公开 offset 的明确要求，不取决于笔记字符串争议。,still_fail,candidate_change,FAIL,False,NA,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:082:E1;gpt-5.5:082:E2;gpt-5.5:082:E3,正确时间应为 21:00 减 30 分钟，即 20:30；GPT 实际排到 21:00。,,pending_user_approval
claude-opus-4-8,linux_android_smarthome_271,82,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_rerun_20260828_run_01/082_linux_android_smarthome_271,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.3333333333333333,FAIL,0.3333333333333333,reviewed,E1;E3,,undetermined,candidate_change,undetermined,False,NA,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:082:E1;claude-opus-4-8:082:E2;claude-opus-4-8:082:E3,Claude 已正确安排 20:30；笔记显示正确内容但不能证实已保存。,若有这次 E2E 的最终 Markor 文件/保存状态，请补充；不能使用 Diagnostic isolated stage 或当前手机状态。,pending_user_approval
gpt-5.5,linux_android_smarthome_288,83,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/083_linux_android_smarthome_288,同规则扩展检查（既有人工改判对照）,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.6666666666666666,PASS,1.0,reviewed,E1,,unchanged_pass,no_change,PASS,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/evaluator调整文档.md,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:083:E1;gpt-5.5:083:E2;gpt-5.5:083:E3,沿用既有人工 PASS；本轮不重复计作新增通过。,,existing_adjudication_only
claude-opus-4-8,linux_android_smarthome_288,83,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_rerun_20260828_run_01/083_linux_android_smarthome_288,同规则扩展检查（既有人工改判对照）,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.6666666666666666,FAIL,0.6666666666666666,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:083:E1;claude-opus-4-8:083:E2;claude-opus-4-8:083:E3,同任务对照：Claude 的 Markor 最终 UI 正文完整、Save disabled；旧 workflow cancelled，新 21:30 workflow active 且效果正确。,,pending_user_approval
gpt-5.5,linux_smarthome_606,111,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/111_linux_smarthome_606,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E2,,undetermined,undetermined,undetermined,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:111:E1;gpt-5.5:111:E2,唯一仍违规且允许自动处理的 bathroom humidity 已修正；workbook 对正常 kitchen 的 AutoFix 填 No，与 expected Yes 存在字段口径问题。,AutoFix 指策略允许自动处理，还是本次实际需要/执行自动修复？正常 kitchen 应填 Yes 还是 No？,pending_user_approval
claude-opus-4-8,linux_smarthome_606,111,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/retry_run_01/111_linux_smarthome_606,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E2,,undetermined,undetermined,undetermined,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:111:E1;claude-opus-4-8:111:E2,唯一仍违规且允许自动处理的 bathroom humidity 已修正；workbook 对正常 kitchen 的 AutoFix 填 No，与 expected Yes 存在字段口径问题。,AutoFix 指策略允许自动处理，还是本次实际需要/执行自动修复？正常 kitchen 应填 Yes 还是 No？,pending_user_approval
gpt-5.5,linux_smarthome_851,114,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/114_linux_smarthome_851,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.5,FAIL,0.5,reviewed,,Requests!F2 填 Applied，而模板下拉和 Guide 使用 Supported 作为应用成功的业务标签。,still_fail,no_change,FAIL,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:114:E1;gpt-5.5:114:E2,Home 操作正确，但受控 Decision 没按模板完成。,,not_required_for_retaining_result
claude-opus-4-8,linux_smarthome_851,114,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/retry_run_01/114_linux_smarthome_851,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E2,,undetermined,undetermined,undetermined,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:114:E1;claude-opus-4-8:114:E2,Claude 所有目标单元格回读与 Guide 和 expected 一致；仍没有足够证据解释整个 XLSX 条件的 0 分。,需补充本 selected attempt 的最终 XLSX 及原模板保持性证据；不能用当前可复用缓存。,pending_user_approval
gpt-5.5,linux_smarthome_1000,116,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/116_linux_smarthome_1000,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E1,,undetermined,undetermined,undetermined,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:116:E1;gpt-5.5:116:E2,Home 改动正确；Capability 列写设备类型，其他列明确说明真实支持情况，不能直接判作语义等价或明确错误。,Capability 列要求实际支持能力，还是可记录该请求所需的设备/能力类型？R3 写 Dimmable light，但 Policy/Evidence 明确说只有 plain light，不能调暗。,pending_user_approval
claude-opus-4-8,linux_smarthome_1000,116,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/retry_run_01/116_linux_smarthome_1000,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E1;E1.content_aliases,,undetermined,undetermined,undetermined,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:116:E1;claude-opus-4-8:116:E2;claude-opus-4-8:116:E1.content_aliases,Claude 回读覆盖实际能力/策略/前后状态；发现隐藏有限句式问题，但不能外推完整 workbook 保持性。,需补充本 selected attempt 的最终 XLSX 及原模板保持性证据；不能用当前可复用缓存。,pending_user_approval
gpt-5.5,linux_smarthome_796,117,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/117_linux_smarthome_796,同任务另一模型,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.5,FAIL,0.5,reviewed,,Actual 列为 basic light 写 set_brightness，为不存在的 heater 写 set_target_temperature；不能用 Notes 的正确说明抵消错误的 Actual。,still_fail,no_change,FAIL,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:117:E1;gpt-5.5:117:E2;gpt-5.5:117:E3,未正确填写 Actual 列；对原判的疑点排除。,,not_required_for_retaining_result
claude-opus-4-8,linux_smarthome_796,117,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/retry_run_01/117_linux_smarthome_796,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E1;E1.content_aliases,,undetermined,undetermined,undetermined,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:117:E1;claude-opus-4-8:117:E2;claude-opus-4-8:117:E3;claude-opus-4-8:117:E1.content_aliases,Claude 实际能力和判定正确；发现有限句式过窄，完整文件保持性仍不可确认。,需补充本 selected attempt 的最终 XLSX 及原模板保持性证据；不能用当前可复用缓存。,pending_user_approval
gpt-5.5,linux_smarthome_932,119,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/119_linux_smarthome_932,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E1,,undetermined,undetermined,undetermined,False,NA,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:119:E1;gpt-5.5:119:E2;gpt-5.5:119:E3,目标格 90/65/20–70/yes/Live In Range/no repair 都正确；需要历史 workbook 才能判断合并评分失败原因。,需补充本 selected attempt 的最终 XLSX 及原模板保持性证据；不能用当前可复用缓存。,pending_user_approval
